Division,AP Address,COORDINATES,Property type,Property detail/name,Additional AP Details,Status,Active,In Laser zone?,Date est. as AP in database,Time Period as AP,Same as prev. yr?,Date of document,Alleged activity,Calls for service,% of Divsion Total CFS,Alleged Violent Crime during TP,Division VC Total,% of Division Total Alleged VC,SLO,Police Activity,RD,Basic Car #,Side (of street),Arc_Zone,Additional info. provided,Additional notes ,Additional notes ,Source-Doc title,Additional Source,Additional Source,Additional Source
Hollywood,6801 HOLLYWOOD BL,"34.111370,-118.336250",Public,METRO STATION,Score: 75,M,1,need to check to see if in laser zone or not ,2/21/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,1708 LAS PALMAS,"34.102770,-118.335750",Business,RUSTY MULLET,Score: 38,M,1,need to check to see if in laser zone or not ,2/22/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,6384 HOLLYWOOD BL,"34.101560,-118.329250",Business,POPEYES,Score: 75,T,1,need to check to see if in laser zone or not ,2/23/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,6506 HOLLYWOOD BL,"34.10160179193807, -118.33107862303329",Business,PLAYHOUSE,Score: 75,T,1,need to check to see if in laser zone or not ,2/24/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,5450 HOLLYWOOD BL,"34.10151501266558, -118.3086116304567",Public,METRO STATION,Score: 75,T,1,need to check to see if in laser zone or not ,2/25/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,CRENSHAW & ADAMS,"34.032429460328174, -118.33468268070762",Business,Mobil Mart Gas Station,Score: 70,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,CRENSHAW & JEFFERSON,"34.02572506152522, -118.3352215439487",Intersection,,Score: 70,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,BUS BENCH AND PARKING LOT,,,,,,,,0,,,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,3849 GIBRALTAR,"34.01675869491181, -118.35508573045855",Residential,Multi-family apartment,Score: 55,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,3602 LA BREA,"34.02118335676787, -118.35510853045852",Business,Mc Donalds / Shopping Center,Score: 75,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,4501 W. MARTIN LUTHER KING JR. BLVD,"34.018159609798275, -118.34595577278535",Business,Shopping Center,Score: 75,T,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollenbeck,967 S. Lorena St.,"34.025982353672525, -118.20240237278512",Residential,Property,Score: 75,M,1,need to check to see if in laser zone or not ,8/1/2017,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,4,Area 4,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
