DIVISION,LASER ID,DESCRIPTION,BOUNDS,year
NEWTON,LASER 1,Grand to Main and 60th st to 66th st,"[[33.985139, -118.273944],[33.985106, -118.279980],[33.979006, -118.280254],[33.979044, -118.273952],[33.985139, -118.273944]]",2016
NEWTON,LASER 2,42nd Pl to 52nd St and Olive to Wall St,"[[33.994696, -118.273990],[34.001057, -118.274000],[34.004690, -118.271691],[34.006598, -118.270889],[34.006537, -118.280534],[33.994687, -118.280063],[33.994696, -118.273990]]",2016
NEWTON,LASER 3,Central Corridor between Martin Luther King Jr Blvd and 52nd Pl,"[[34.011203, -118.254308],[34.011091, -118.258995],[33.994286, -118.259109],[33.994387, -118.253859],[34.011203, -118.254308]]",2016
SOUTHWEST,LASER 1,Baldwin Village South of Coliseum and Martin Luther King Jr Blvd,"[[34.018300, -118.355474],[34.018256, -118.349992],[34.016967, -118.347181],[34.017385, -118.346151],[34.013863, -118.341677],[34.012191, -118.342385],[34.012751, -118.344702],[34.009905, -118.347068],[34.012377, -118.355496],[34.018300, -118.355474]]",
SOUTHWEST,LASER 2A,Western Corridor between 39th St and 42nd St,"[[34.016463, -118.306752],[34.016452, -118.308933],[34.007285, -118.308944],[34.007236, -118.306766],[34.016463, -118.306752]]",
SOUTHWEST,LASER 2B,Western Corridor between Adams and 36th St,"[[34.022805, -118.306758],[34.032688, -118.306967],[34.032670, -118.308963],[34.022833, -118.308904],[34.022805, -118.306758]]",
SOUTHWEST,LASER 3,Vermont Corridor between Leighton and Vernon,"[[34.003704, -118.290011],[34.013243, -118.290124],[34.013212, -118.295966],[34.003695, -118.295916],[34.003704, -118.290011]]",
SOUTHWEST,LASER 4,Baldwin Hills Crenshaw and MLK to Homeland Dr and Degnan Blvd,"[[34.012395, -118.337814],[34.007628, -118.343090],[34.005929, -118.339346],[34.007165, -118.337361],[34.004421, -118.335714],[34.006373, -118.330494],[34.010929, -118.330443],[34.010969, -118.335051],[34.012395, -118.337814]]",
SOUTHWEST,LASER 5,Somerset to Edgehill and Adams to 28th st,"[[34.032589, -118.336376],[34.031142, -118.336357],[34.03116200430154, -118.3319125796661],[34.03144652682338, -118.33139759555293],[34.0314198528775, -118.32926255725046],[34.03261128094896, -118.32842570806656],[34.032589, -118.336376]]",
HARBOR,LASER 1,Santa Cruz to 10th St and Cabrillo to Grand,"[[33.744405919938984, -118.2923036577298],[33.735154092765775, -118.2924430815089],[33.73515393821036, -118.29458884896592],[33.744325516136485, -118.29458884904805],[33.744405919938984, -118.2923036577298]]",
HARBOR,LASER 2,I St. to F St. and Wilmington to Avalon,"[[33.781260830712014, -118.26257395039701],[33.77709623139281, -118.2622521368747],[33.77645414152006, -118.27393583925232],[33.78077031967832, -118.27432207738882],[33.781260830712014, -118.26257395039701]]",
