X,Y,Date,Full_Address,lon,lat
-118.2592862,34.0402437,2015/06/21 00:00:00,"1050 S Hill St, Los Angeles, CA",-118.2592862,34.0402437
-118.2592862,34.0402437,2015/06/21 00:00:00,"1050 S Hill St, Los Angeles, CA",-118.2592862,34.0402437
-118.263028,34.036414,2015/06/21 00:00:00,"1301 S Main St, Los Angeles, CA",-118.263028,34.036414
-118.2677826,34.0370842,2015/06/21 00:00:00,"1441 S Hope St, Los Angeles, CA",-118.2677826,34.0370842
-118.2486042,34.0511106,2015/06/21 00:00:00,"306 W 3rd St, Los Angeles, CA",-118.2486042,34.0511106
-118.2470294,34.0477711,2015/06/21 00:00:00,"400 S Main St, Los Angeles, CA",-118.2470294,34.0477711
-118.24878,34.048825,2015/06/21 00:00:00,"401 S Spring St, Los Angeles, CA",-118.24878,34.048825
-118.2499811,34.0473078,2015/06/21 00:00:00,"501 S Spring St, Los Angeles, CA",-118.2499811,34.0473078
-118.2499811,34.0473078,2015/06/21 00:00:00,"501 S Spring St, Los Angeles, CA",-118.2499811,34.0473078
-118.2494645,34.0462547,2015/06/21 00:00:00,"545 S Main St, Los Angeles, CA",-118.2494645,34.0462547
-118.2509263,34.0455701,2015/06/21 00:00:00,"600 S Spring St, Los Angeles, CA",-118.2509263,34.0455701
-118.2547212,34.0469705,2015/06/21 00:00:00,"646 S Olive St , Los Angeles, CA",-118.2547212,34.0469705
-118.2589528,34.0482009,2015/06/21 00:00:00,"700 S Flower St, Los Angeles, CA",-118.2589528,34.0482009
-118.2537427,34.0427133,2015/06/21 00:00:00,"810 S Spring St, Los Angeles, CA",-118.2537427,34.0427133
-118.2327892,34.0440447,2015/06/21 00:00:00,"960 E 3rd St, Los Angeles, CA",-118.2327892,34.0440447
-118.258569,34.048766,2015/06/21 00:00:00,"7th St & Flower St, Los Angeles, CA",-118.258569,34.048766
-118.257933,34.045849,2015/06/21 00:00:00,"8th St & Grand Av, Los Angeles, CA",-118.257933,34.045849
-118.255612,34.044413,2015/06/21 00:00:00,"8th St & Hill St, Los Angeles, CA",-118.255612,34.044413
-118.244194,34.060731,2015/06/21 00:00:00,"Cesar E Chavez & Grand, Los Angeles, CA",-118.244194,34.060731
-118.25955,34.042331,2015/06/21 00:00:00,"Olympic & Olive, Los Angeles, CA",-118.25955,34.042331
-118.2592862,34.0402437,2015/06/22 00:00:00,"1050 S Hill St, Los Angeles, CA",-118.2592862,34.0402437
-118.2592862,34.0402437,2015/06/22 00:00:00,"1050 S Hill St, Los Angeles, CA",-118.2592862,34.0402437
-118.2528067,34.0449579,2015/06/22 00:00:00,"215 W 7Th St, Los Angeles, CA",-118.2528067,34.0449579
-118.2362614,34.0452615,2015/06/22 00:00:00,"303 S Hewitt St, Los Angeles, CA",-118.2362614,34.0452615
-118.2486042,34.0511106,2015/06/22 00:00:00,"306 W3rd St, Los Angeles, CA",-118.2486042,34.0511106
-118.2532126,34.0397103,2015/06/22 00:00:00,"308 E 9th St, Los Angeles, CA",-118.2532126,34.0397103
-118.2470294,34.0477711,2015/06/22 00:00:00,"400 S Main St, Los Angeles, CA",-118.2470294,34.0477711
-118.2499811,34.0473078,2015/06/22 00:00:00,"501 S Spring St, Los Angeles, CA",-118.2499811,34.0473078
-118.2499811,34.0473078,2015/06/22 00:00:00,"501 S Spring St, Los Angeles, CA",-118.2499811,34.0473078
-118.2559415,34.0493176,2015/06/22 00:00:00,"626 W 6Th St , Los Angeles, CA",-118.2559415,34.0493176
-118.2547212,34.0469705,2015/06/22 00:00:00,"646 S Olive St , Los Angeles, CA",-118.2547212,34.0469705
-118.2537427,34.0427133,2015/06/22 00:00:00,"810 S Spring St, Los Angeles, CA",-118.2537427,34.0427133
-118.2356805,34.057249,2015/06/22 00:00:00,"888 N Alameda St, Los Angeles, CA",-118.2356805,34.057249
