date,address,city,full_address,code,lon,lat,geoAddress
6/17/2018,1 Gateway Plaza Dr,", Los Angeles, CA","1 Gateway Plaza Dr, Los Angeles, CA",PK,-118.233109,34.055694,"mta building, 1 gateway plaza, los angeles, ca 90012, usa"
6/16/2018,1 St & Vignes,", Los Angeles, CA","1 St & Vignes, Los Angeles, CA",PK,-118.2360884,34.0485188,
6/5/2018,1000 S Hope St ,", Los Angeles, CA","1000 S Hope St , Los Angeles, CA",PE,-118.26189,34.0431569,"1000 s hope st, los angeles, ca 90015, usa"
6/4/2018,1000 S Hope St,", Los Angeles, CA","1000 S Hope St, Los Angeles, CA",PD,-118.26189,34.0431569,"1000 s hope st, los angeles, ca 90015, usa"
6/15/2018,1001 N Alameda St,", Los Angeles, CA","1001 N Alameda St, Los Angeles, CA",PK,-118.237025,34.059721,"1001 n alameda st, los angeles, ca 90012, usa"
6/16/2018,11 Th & Los Angeles,", Los Angeles, CA","11 Th & Los Angeles, Los Angeles, CA",PD,-118.3315955,33.9924971,
6/18/2018,110 E 9th St ,", Los Angeles, CA","110 E 9th St , Los Angeles, CA",PE,-118.2553119,34.040474,"110 e 9th st, los angeles, ca 90079, usa"
6/20/2018,110 E 9th St,", Los Angeles, CA","110 E 9th St, Los Angeles, CA",PF,-118.2553119,34.040474,"110 e 9th st, los angeles, ca 90079, usa"
6/25/2018,110 E 9th St,", Los Angeles, CA","110 E 9th St, Los Angeles, CA",PC,-118.2553119,34.040474,"110 e 9th st, los angeles, ca 90079, usa"
6/26/2018,110 E 9th St,", Los Angeles, CA","110 E 9th St, Los Angeles, CA",PD,-118.2553119,34.040474,"110 e 9th st, los angeles, ca 90079, usa"
6/27/2018,110 E 9th St,", Los Angeles, CA","110 E 9th St, Los Angeles, CA",PC,-118.2553119,34.040474,"110 e 9th st, los angeles, ca 90079, usa"
6/29/2018,110 E 9th St,", Los Angeles, CA","110 E 9th St, Los Angeles, CA",PC,-118.2553119,34.040474,"110 e 9th st, los angeles, ca 90079, usa"
6/30/2018,110 E 9th St,", Los Angeles, CA","110 E 9th St, Los Angeles, CA",PD,-118.2553119,34.040474,"110 e 9th st, los angeles, ca 90079, usa"
6/3/2018,11th & Los Angeles,", Los Angeles, CA","11th & Los Angeles, Los Angeles, CA",PC,-118.3315955,33.9924971,
6/4/2018,11th & Los Angeles,", Los Angeles, CA","11th & Los Angeles, Los Angeles, CA",PC,-118.3315955,33.9924971,
6/5/2018,11th & Los Angeles,", Los Angeles, CA","11th & Los Angeles, Los Angeles, CA",PC,-118.3315955,33.9924971,
6/1/2018,11th & Olive,", Los Angeles, CA","11th & Olive, Los Angeles, CA",PD,-118.2630981,34.0408647,
6/4/2018,11th & Olive,", Los Angeles, CA","11th & Olive, Los Angeles, CA",PC,-118.2630981,34.0408647,
6/6/2018,11th & Olive,", Los Angeles, CA","11th & Olive, Los Angeles, CA",PF,-118.2630981,34.0408647,
6/7/2018,11th & Olive,", Los Angeles, CA","11th & Olive, Los Angeles, CA",PG,-118.2630981,34.0408647,
6/14/2018,12 Th & Los Angeles,", Los Angeles, CA","12 Th & Los Angeles, Los Angeles, CA",PC,-118.2630981,34.0408647,
6/1/2018,1201 S Figueroa St,", Los Angeles, CA","1201 S Figueroa St, Los Angeles, CA",PC,-118.2689545,34.0414337,"1201 s figueroa st, los angeles, ca 90015, usa"
6/15/2018,1201 S Figueroa St,", Los Angeles, CA","1201 S Figueroa St, Los Angeles, CA",PE,-118.2689545,34.0414337,"1201 s figueroa st, los angeles, ca 90015, usa"
6/16/2018,1201 S Figueroa St,", Los Angeles, CA","1201 S Figueroa St, Los Angeles, CA",PD,-118.2689545,34.0414337,"1201 s figueroa st, los angeles, ca 90015, usa"
6/19/2018,1201 S Figueroa St,", Los Angeles, CA","1201 S Figueroa St, Los Angeles, CA",PC,-118.2689545,34.0414337,"1201 s figueroa st, los angeles, ca 90015, usa"
6/9/2018,1205 E 6th St ,", Los Angeles, CA","1205 E 6th St , Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/13/2018,1205 E 6th St ,", Los Angeles, CA","1205 E 6th St , Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/14/2018,1205 E 6th St ,", Los Angeles, CA","1205 E 6th St , Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/2/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PC,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/2/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PB,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/3/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/3/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/4/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PB,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/5/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/6/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/6/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/7/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PE,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/9/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/10/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PC,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/12/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PC,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/13/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PB,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/15/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PE,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/17/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/17/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PC,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/18/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PB,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/19/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PE,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/20/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PE,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/22/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PF,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/23/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PC,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/23/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PE,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/24/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/26/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PC,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/27/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PD,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/28/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PF,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/29/2018,1205 E 6th St,", Los Angeles, CA","1205 E 6th St, Los Angeles, CA",PB,-118.238026,34.0382897,"1205 e 6th st, los angeles, ca 90021, usa"
6/11/2018,1216 Santee St,", Los Angeles, CA","1216 Santee St, Los Angeles, CA",PC,-118.2575562,34.0355356,"1216s santee st, los angeles, ca 90015, usa"
6/15/2018,1216 Santee St,", Los Angeles, CA","1216 Santee St, Los Angeles, CA",PB,-118.2575562,34.0355356,"1216s santee st, los angeles, ca 90015, usa"
6/17/2018,1216 Santee St,", Los Angeles, CA","1216 Santee St, Los Angeles, CA",PB,-118.2575562,34.0355356,"1216s santee st, los angeles, ca 90015, usa"
6/20/2018,1216 Santee St,", Los Angeles, CA","1216 Santee St, Los Angeles, CA",PD,-118.2575562,34.0355356,"1216s santee st, los angeles, ca 90015, usa"
6/21/2018,1216 Santee St,", Los Angeles, CA","1216 Santee St, Los Angeles, CA",PC,-118.2575562,34.0355356,"1216s santee st, los angeles, ca 90015, usa"
6/22/2018,1216 Santee St,", Los Angeles, CA","1216 Santee St, Los Angeles, CA",PC,-118.2575562,34.0355356,"1216s santee st, los angeles, ca 90015, usa"
6/5/2018,123 S Figueroa St,", Los Angeles, CA","123 S Figueroa St, Los Angeles, CA",PJ,-118.2528904,34.0576763,"140h, 123 s figueroa st, los angeles, ca 90012, usa"
6/15/2018,123 W12Th St,", Los Angeles, CA","123 W12Th St, Los Angeles, CA",PD,-118.2809261,33.7331773,"123 w 12th st, san pedro, ca 90731, usa"
6/25/2018,12th & Grand ,", Los Angeles, CA","12th & Grand , Los Angeles, CA",PE,-118.265501,34.0401389,
6/24/2018,12th & Grand,", Los Angeles, CA","12th & Grand, Los Angeles, CA",PG,-118.265501,34.0401389,
6/26/2018,12th & Grand,", Los Angeles, CA","12th & Grand, Los Angeles, CA",PE,-118.265501,34.0401389,
